Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0603_1608Metric",192.000000,-123.500000,-170.000000,top
"C2","0.1u","C_0603_1608Metric",160.500000,-126.750000,-178.000000,top
"C3","0.1u","C_0603_1608Metric",130.000000,-126.250000,175.000000,top
"C4","0.1u","C_0603_1608Metric",97.250000,-121.250000,168.000000,top
"C5","0.1u","C_0603_1608Metric",85.250000,-121.500000,-107.000000,top
"C6","0.1u","C_0603_1608Metric",46.000000,-99.000000,-147.000000,top
"C7","0.1u","C_0603_1608Metric",54.750000,-63.000000,123.000000,top
"C8","0.1u","C_0603_1608Metric",100.750000,-41.500000,103.000000,top
"C9","0.1u","C_0603_1608Metric",149.250000,-36.250000,92.000000,top
"C10","0.1u","C_0603_1608Metric",165.250000,-36.750000,89.000000,top
"C11","0.1u","C_0603_1608Metric",214.000000,-45.000000,75.000000,top
"C12","0.1u","C_0603_1608Metric",244.000000,-58.000000,60.000000,top
"C13","0.1u","C_0603_1608Metric",263.250000,-84.000000,10.000000,top
"C14","0.1u","C_0603_1608Metric",244.250000,-111.250000,-52.000000,top
"C15","0.1u","C_0603_1608Metric",62.000000,-95.500000,160.000000,top
"C16","0.1u","C_0603_1608Metric",67.500000,-83.000000,-20.000000,top
"C17","0.1u","C_0603_1608Metric",80.500000,-64.000000,15.000000,top
"C18","0.1u","C_0603_1608Metric",108.000000,-62.000000,-20.000000,top
"C19","0.1u","C_0603_1608Metric",126.000000,-65.750000,117.000000,top
"C20","0.1u","C_0603_1608Metric",150.250000,-68.250000,-175.000000,top
"C21","0.1u","C_0603_1608Metric",143.500000,-94.250000,-40.000000,top
"C22","0.1u","C_0603_1608Metric",114.250000,-90.000000,-20.000000,top
"C23","0.1u","C_0603_1608Metric",162.500000,-98.500000,160.000000,top
"C24","0.1u","C_0603_1608Metric",173.250000,-71.500000,-20.000000,top
"C25","0.1u","C_0603_1608Metric",197.250000,-73.750000,10.000000,top
"C26","0.1u","C_0603_1608Metric",168.000000,-84.750000,-20.000000,top
"C27","0.1u","C_0603_1608Metric",245.750000,-76.750000,-100.000000,top
"C28","0.1u","C_0603_1608Metric",218.250000,-69.750000,160.000000,top
"C29","0.1u","C_0603_1608Metric",233.750000,-74.750000,80.000000,top
"C30","0.1u","C_0603_1608Metric",228.000000,-99.250000,80.000000,top
"C31","1000p","C_0603_1608Metric",101.000000,-123.250000,80.000000,top
"C32","1000p","C_0603_1608Metric",88.250000,-124.500000,165.000000,top
"C33","1000p","C_0603_1608Metric",88.750000,-122.500000,165.000000,top
"C34","0.1u","C_0603_1608Metric",40.000000,-85.500000,167.000000,top
"C35","0.1u","C_0603_1608Metric",171.500000,-135.000000,5.000000,top
"C36","1u","C_0805_2012Metric",188.250000,-131.500000,10.000000,top
"C37","0.1u","C_0603_1608Metric",178.500000,-125.500000,7.000000,top
"C38","0.1u","C_0603_1608Metric",187.750000,-125.500000,-170.000000,top
"C39","0.1u","C_0603_1608Metric",145.500000,-127.000000,179.000000,top
"C40","0.1u","C_0603_1608Metric",114.500000,-124.500000,-8.000000,top
"C41","0.1u","C_0603_1608Metric",44.750000,-72.250000,-45.000000,top
"C42","0.1u","C_0603_1608Metric",72.500000,-70.000000,160.000000,top
"C43","0.1u","C_0603_1608Metric",84.500000,-78.000000,-165.000000,top
"C44","0.1u","C_0603_1608Metric",89.000000,-92.000000,15.000000,top
"C45","0.1u","C_0603_1608Metric",98.000000,-87.500000,-20.000000,top
"C46","0.1u","C_0603_1608Metric",57.250000,-108.250000,-126.000000,top
