Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C34, C35, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C7, C70, C71, C8, C9",0603,67,0.1u,C14663
"C31, C32, C33",0603,3,1000p,C1588
"C36, C72",0805,2,1u,C28323
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,65,WS2812B,C2843785
FB1,0805,1,100Z,C1015
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
R1,0603,1,1M,C22935
"R2, R3",0603,2,5.1k,C23186
SW1,SW_Tactile_SPST_Angled_PTS645Vx83-2LFS,1,DIM,C285530
SW2,SW_Tactile_SPST_Angled_PTS645Vx83-2LFS,1,COLOR,C285530
SW3,SW_Tactile_SPST_Angled_PTS645Vx83-2LFS,1,MODE,C285530
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,STM32F042F6Px,C2969989
U2,SOT-23-3,1,XC6206PxxxMR,C5446
U3,SOT-353_SC-70-5,1,74AHCT1G125,C151417
