Designator,Mid X,Mid Y,Rotation,Layer
C1,192.0,-123.5,190.0,top
C10,165.25,-36.75,89.0,top
C11,214.0,-45.0,75.0,top
C12,244.0,-58.0,60.0,top
C13,263.25,-84.0,10.0,top
C14,244.25,-111.25,308.0,top
C15,62.0,-95.5,160.0,top
C16,67.5,-83.0,340.0,top
C17,80.5,-64.0,15.0,top
C18,108.0,-62.0,340.0,top
C19,126.0,-65.75,117.0,top
C2,160.5,-126.75,182.0,top
C20,150.25,-68.25,185.0,top
C21,143.5,-94.25,320.0,top
C22,114.25,-90.0,340.0,top
C23,162.5,-98.5,160.0,top
C24,173.25,-71.5,340.0,top
C25,197.25,-73.75,10.0,top
C26,168.0,-84.75,340.0,top
C27,245.75,-76.75,260.0,top
C28,218.25,-69.75,160.0,top
C29,233.75,-74.75,80.0,top
C3,130.0,-126.25,175.0,top
C30,228.0,-99.25,80.0,top
C31,101.0,-123.25,80.0,top
C32,88.25,-124.5,165.0,top
C33,88.75,-122.5,165.0,top
C34,40.0,-85.5,167.0,top
C35,171.5,-135.0,5.0,top
C36,188.25,-131.5,10.0,top
C37,178.5,-125.5,7.0,top
C38,187.75,-125.5,190.0,top
C39,145.5,-127.0,179.0,top
C4,97.25,-121.25,168.0,top
C40,114.5,-124.5,352.0,top
C41,44.75,-72.25,315.0,top
C42,72.5,-70.0,160.0,top
C43,84.5,-78.0,195.0,top
C44,89.0,-92.0,15.0,top
C45,98.0,-87.5,340.0,top
C46,57.25,-108.25,234.0,top
C47,78.0,-57.5,340.0,top
C48,103.0,-74.5,160.0,top
C49,120.0,-101.75,40.0,top
C5,85.25,-121.5,253.0,top
C50,119.25,-77.0,160.0,top
C51,157.5,-111.75,340.0,top
C52,71.25,-115.75,244.0,top
C53,138.75,-61.75,255.0,top
C54,148.75,-81.5,339.0,top
C55,133.25,-102.5,95.0,top
C56,216.0,-97.0,80.0,top
C57,222.0,-120.75,260.0,top
C58,210.25,-118.75,80.0,top
C59,181.5,-38.25,84.0,top
C6,46.0,-99.0,213.0,top
C60,117.0,-38.5,279.0,top
C61,256.25,-68.25,45.0,top
C62,257.5,-100.0,150.0,top
C63,182.5,-91.0,80.0,top
C64,195.5,-86.75,305.0,top
C65,183.75,-70.0,260.0,top
C66,133.25,-37.0,275.0,top
C67,197.5,-41.0,80.0,top
C68,212.25,-83.25,340.0,top
C69,207.25,-97.5,160.0,top
C7,54.75,-63.0,123.0,top
C70,201.75,-111.25,340.0,top
C71,228.75,-50.25,70.0,top
C72,91.75,-120.75,165.0,top
C8,100.75,-41.5,103.0,top
C9,149.25,-36.25,92.0,top
D1,192.787457,-127.75,280.0,top
D10,53.0,-107.5,234.0,top
D11,42.25,-96.5,213.0,top
D12,39.0,-81.25,167.0,top
D13,46.25,-68.25,135.0,top
D14,57.25,-59.5,123.0,top
D15,97.5,-44.0,283.0,top
D16,113.287457,-41.0,279.0,top
D17,129.287457,-39.25,275.0,top
D18,145.5,-38.25,272.0,top
D19,161.287457,-38.5,269.0,top
D2,176.787457,-130.0,277.0,top
D20,177.5,-39.75,264.0,top
D21,193.25,-42.0,260.0,top
D22,209.75,-45.75,255.0,top
D23,224.5,-50.5,250.0,top
D24,239.75,-57.75,240.0,top
D25,252.25,-66.75,225.0,top
D26,260.75,-80.5,190.0,top
D27,258.0,-96.0,150.0,top
D28,246.25,-107.75,128.0,top
D29,62.5,-91.5,160.0,top
D3,161.0,-131.25,272.0,top
D30,67.5,-79.0,160.0,top
D31,72.5,-66.0,160.0,top
D32,83.0,-67.5,15.0,top
D33,87.0,-81.5,15.0,top
D34,92.0,-95.5,15.0,top
D35,98.0,-83.5,160.0,top
D36,108.0,-58.0,160.0,top
D37,128.5,-62.5,117.0,top
D38,142.75,-61.25,75.0,top
D39,152.25,-71.75,5.0,top
D4,144.75,-131.5,269.0,top
D40,149.0,-85.5,339.0,top
D41,142.5,-98.25,320.0,top
D42,129.75,-104.5,275.0,top
D43,116.25,-100.0,220.0,top
D44,119.0,-73.0,160.0,top
D45,157.5,-107.75,160.0,top
D46,167.75,-80.75,160.0,top
D47,173.0,-67.5,160.0,top
D48,188.0,-69.0,80.0,top
D49,199.75,-77.0,10.0,top
D5,128.787457,-130.75,265.0,top
D50,193.25,-90.5,305.0,top
D51,178.25,-92.13342,260.0,top
D52,241.75,-77.5,260.0,top
D53,229.75,-75.5,260.0,top
D54,218.0,-73.75,340.0,top
D55,212.5,-87.5,340.0,top
D56,207.5,-101.5,340.0,top
D57,202.0,-115.25,340.0,top
D58,214.25,-117.75,80.0,top
D59,226.0,-119.75,80.0,top
D6,113.0,-128.75,262.0,top
D60,78.0,-53.5,160.0,top
D61,103.0,-70.5,160.0,top
D62,114.0,-86.0,160.0,top
D63,162.5,-94.25,160.0,top
D64,220.0,-96.0,80.0,top
D65,232.0,-98.0,80.0,top
D7,96.287457,-125.5,258.0,top
D8,81.0,-121.25,253.0,top
D9,66.75,-115.5,244.0,top
FB1,91.0,-124.25,75.0,top
J1,104.0,-131.0,349.5,top
R1,109.5,-125.0,80.0,top
R2,104.0,-124.0,80.0,top
R3,107.0,-124.5,80.0,top
SW1,155.0,-134.0,180.0,top
SW2,139.0,-133.5,177.0,top
SW3,123.0,-132.442777,174.0,top
U1,168.787457,-130.5,5.0,top
U2,187.75,-128.25,10.0,top
U3,197.75,-127.0,190.0,top
